node_id;name;group;cluster
0;2um Spherical Phytoplankt;;
1;Synedococcus;;
2;Oscillatoria;;
3;Small Diatoms (<20um);;
4;Big Diatoms (>20um);;
5;Dinoflagellates;;
6;Other Phytoplankton;;
7;Benthic Phytoplankton;Demersal Producer;4
8;Thalassia;Seagrass Producer;4
9;Halodule;Seagrass Producer;4
10;Syringodium;Seagrass Producer;4
11;Roots;;
12;Drift Algae;Algae Producer;4
13;Epiphytes;Algae Producer;4
14;Free Bacteria;Microbial Microfauna;1
15;Water Flagellates;Microbial Microfauna;1
16;Water Cilitaes;Microbial Microfauna;1
17;Acartia Tonsa;Zooplankton Microfauna;1
18;Oithona nana;Zooplankton Microfauna;1
19;Paracalanus;Zooplankton Microfauna;1
20;Other Copepoda;Zooplankton Microfauna;1
21;Meroplankton;Zooplankton Microfauna;1
22;Other Zooplankton;Zooplankton Microfauna;1
23;Benthic Flagellates;Sediment Organism Microfauna;4
24;Benthic Ciliates;Sediment Organism Microfauna;4
25;Meiofauna;Sediment Organism Microfauna;4
26;Sponges;Macroinvertebrates;1
27;Coral;;
28;Other Cnidaridae;Macroinvertebrates;4
29;Echinoderma;Macroinvertebrates;4
30;Bivalves;Macroinvertebrates;4
31;Detritivorous Gastropods;Macroinvertebrates;4
32;Epiphytic Gastropods;;
33;Predatory Gastropods;Macroinvertebrates;4
34;Detritivorous Polychaetes;Macroinvertebrates;4
35;Predatory Polychaetes;Macroinvertebrates;4
36;Suspension Feeding Polych;Macroinvertebrates;4
37;Macrobenthos;Macroinvertebrates;4
38;Benthic Crustaceans;Macroinvertebrates;4
39;Detritivorous Amphipods;Macroinvertebrates;4
40;Herbivorous Amphipods;Macroinvertebrates;4
41;Isopods;Macroinvertebrates;4
42;Herbivorous Shrimp;Macroinvertebrates;3
43;Predatory Shrimp;Macroinvertebrates;4
44;Pink Shrimp;Macroinvertebrates;4
45;Thor Floridanus;;
46;Lobster;;
47;Detritivorous Crabs;Macroinvertebrates;3
48;Omnivorous Crabs;Macroinvertebrates;4
49;Predatory Crabs;Macroinvertebrates;3
50;Callinectus sapidus;Macroinvertebrates;3
51;Stone Crab;;
52;Sharks;;
53;Rays;;
54;Tarpon;;
55;Bonefish;;
56;Sardines;Pelagic Fishes;2
57;Anchovy;Pelagic Fishes;2
58;Bay Anchovy;Pelagic Fishes;2
59;Lizardfish;Benthic Fishes;3
60;Catfish;Benthic Fishes;4
61;Eels;Demersal Fishes;3
62;Toadfish;Benthic Fishes;4
63;Brotalus;Demersal Fishes;4
64;Halfbeaks;Pelagic Fishes;2
65;Needlefish;Pelagic Fishes;2
66;Other Killifish;;
67;Goldspotted killifish;Demersal Fishes;2
68;Rainwater killifish;Demersal Fishes;2
69;Snook;;
70;Sailfin Molly;;
71;Silverside;Pelagic Fishes;2
72;Other Horsefish;;
73;Gulf Pipefish;;
74;Dwarf Seahorse;;
75;Grouper;;
76;Jacks;;
77;Pompano;;
78;Other Snapper;;
79;Gray Snapper;;
80;Mojarra;;
81;Grunt;;
82;Porgy;;
83;Pinfish;;
84;Scianids;;
85;Spotted Seatrout;;
86;Red Drum;;
87;Spadefish;;
88;Parrotfish;;
89;Mackerel;;
90;Mullet;Pelagic Fishes;4
91;Barracuda;;
92;Blennies;Benthic Fishes;4
93;Code Goby;Benthic Fishes;3
94;Clown Goby;Benthic Fishes;3
95;Flatfish;Benthic Fishes;4
96;Filefishes;;
97;Puffer;;
98;Other Pelagic Fishes;Pelagic Fishes;2
99;Other Demersal Fishes;Demersal Fishes;4
100;Loon;;
101;Greeb;;
102;Pelican;;
103;Comorant;;
104;Big Herons & Egrets;;
105;Small Herons & Egrets;;
106;Ibis;;
107;Roseate Spoonbill;;
108;Herbivorous Ducks;;
109;Omnivorous Ducks;;
110;Predatory Ducks;;
111;Raptors;;
112;Gruiformes;;
113;Small Shorebirds;;
114;Gulls & Terns;;
115;Kingfisher;;
116;Crocodiles;;
117;Loggerhead Turtle;;
118;Green Turtle;;
119;Hawksbill Turtle;;
120;Dolphin;;
121;Manatee;;
122;Water POC;Detritus;1
123;Benthic POC;Detritus;4
124;DOC;;
125;Input;Detritus;1
126;Output;;
127;Respiration;;
